Clase,Exactitud SGDM,Precision SGDM,Sensibilidad SGDM,F1-Score SGDM,Exactitud Our Decay,Precision Our Decay,Sensibilidad Our Decay,F1 Score Our Decay,Exactitud RMSP,Precision RMSP,Sensibilidad RMSP,F1 Score RMSP,Exactitud Random Ciclico,Precision Random Ciclico,Sensibilidad Random Ciclico,F1 Score Random Ciclico,Exactitud Random Ciclico Extended,Precision Random Ciclico Extended,Sensibilidad Random Ciclico Extended,F1 Score Random Ciclico Extended,Exactitud Ciclico,Precision Ciclico,Sensibilidad Ciclico,F1 Score Ciclico,Exactitud LBFGS,Precision LBFGS,Sensibilidad LBFGS,F1 Score LBFGS,Exactitud Fijo,Precision Fijo,Sensibilidad Fijo,F1 Score Fijo,Exactitud Adam,Precision Adam,Sensibilidad Adam,F1 Score Adam,Exactitud Decreciente,Precision Decreciente,Sensibilidad Decreciente,F1 Score Decreciente
0,0.9838,0.9834,0.9915,0.9874,0.9837,0.9833,0.9916,0.9874,0.9837,0.9837,0.9912,0.9874,0.9829,0.9809,0.991,0.9859,0.9829,0.9811,0.9909,0.986,0.9826,0.9827,0.9912,0.9869,0.9787,0.9826,0.988,0.9853,0.9702,0.9709,0.987,0.9789,0.9687,0.9813,0.9869,0.9841,0.9431,0.9524,0.984,0.9679
1,0.9838,0.9916,0.9925,0.992,0.9837,0.9908,0.9925,0.9917,0.9837,0.9913,0.9927,0.992,0.9829,0.9906,0.9927,0.9916,0.9829,0.9908,0.9925,0.9916,0.9826,0.9907,0.992,0.9914,0.9787,0.9904,0.9911,0.9908,0.9702,0.9802,0.9885,0.9844,0.9687,0.9847,0.9856,0.9852,0.9431,0.9713,0.9817,0.9765
2,0.9838,0.9823,0.9846,0.9835,0.9837,0.9819,0.9846,0.9832,0.9837,0.9822,0.9836,0.9829,0.9829,0.9823,0.9829,0.9826,0.9829,0.9819,0.9829,0.9824,0.9826,0.981,0.9835,0.9823,0.9787,0.9797,0.9776,0.9787,0.9702,0.9724,0.9699,0.9712,0.9687,0.9675,0.9723,0.9699,0.9431,0.947,0.9311,0.939
3,0.9838,0.9813,0.9842,0.9827,0.9837,0.9819,0.9833,0.9826,0.9837,0.9821,0.9831,0.9826,0.9829,0.9812,0.9825,0.9819,0.9829,0.9806,0.9834,0.982,0.9826,0.981,0.9832,0.9821,0.9787,0.9704,0.9777,0.974,0.9702,0.9629,0.9737,0.9683,0.9687,0.9582,0.9703,0.9642,0.9431,0.9272,0.9418,0.9344
4,0.9838,0.9835,0.9825,0.983,0.9837,0.9847,0.9827,0.9837,0.9837,0.9846,0.982,0.9833,0.9829,0.9845,0.9815,0.983,0.9829,0.9834,0.9809,0.9822,0.9826,0.9847,0.9798,0.9823,0.9787,0.9832,0.976,0.9796,0.9702,0.9688,0.9707,0.9697,0.9687,0.9686,0.9713,0.9699,0.9431,0.9328,0.9492,0.9409
5,0.9838,0.9863,0.98,0.9832,0.9837,0.9853,0.9796,0.9824,0.9837,0.987,0.9798,0.9834,0.9829,0.9853,0.9788,0.9821,0.9829,0.9856,0.9791,0.9823,0.9826,0.9873,0.9762,0.9817,0.9787,0.9833,0.9703,0.9767,0.9702,0.9738,0.9597,0.9667,0.9687,0.9628,0.9632,0.963,0.9431,0.9444,0.9074,0.9255
6,0.9838,0.9847,0.9851,0.9849,0.9837,0.9833,0.9865,0.9849,0.9837,0.9832,0.9862,0.9847,0.9829,0.9824,0.9848,0.9836,0.9829,0.9832,0.9844,0.9838,0.9826,0.9817,0.9847,0.9832,0.9787,0.9791,0.9825,0.9808,0.9702,0.9681,0.9721,0.9701,0.9687,0.9778,0.9726,0.9752,0.9431,0.9375,0.9601,0.9486
7,0.9838,0.979,0.9798,0.9794,0.9837,0.9793,0.9792,0.9793,0.9837,0.9782,0.98,0.9791,0.9829,0.9789,0.9796,0.9792,0.9829,0.9788,0.9794,0.9791,0.9826,0.9787,0.978,0.9783,0.9787,0.9779,0.9767,0.9773,0.9702,0.9653,0.9654,0.9654,0.9687,0.9724,0.9643,0.9683,0.9431,0.9471,0.9355,0.9413
8,0.9838,0.9845,0.9798,0.9821,0.9837,0.9853,0.9786,0.9819,0.9837,0.9848,0.9789,0.9818,0.9829,0.9822,0.9771,0.9797,0.9829,0.9836,0.9777,0.9806,0.9826,0.9809,0.9793,0.9801,0.9787,0.9694,0.9739,0.9716,0.9702,0.9689,0.9605,0.9647,0.9687,0.948,0.9476,0.9478,0.9431,0.932,0.9153,0.9235
9,0.9838,0.9809,0.9765,0.9787,0.9837,0.981,0.9773,0.9791,0.9837,0.9794,0.978,0.9787,0.9829,0.9796,0.9761,0.9778,0.9829,0.9792,0.9761,0.9776,0.9826,0.9769,0.9763,0.9766,0.9787,0.9698,0.9706,0.9702,0.9702,0.9696,0.9511,0.9602,0.9687,0.9627,0.9498,0.9562,0.9431,0.9353,0.918,0.9266
