Clase,Exactitud Our Decay,Precision Our Decay Momentum,Sensibilidad Our Decay Momentum,F1-Score Our Decay Momentum,Exactitud Random Ciclico Extendido,Precision Random Ciclico Extendido,Sensibilidad Random Ciclico Extendido,F1 Score Random Ciclico Extendido,Exactitud Ciclico Momentum,Precision Ciclico Momentum,Sensibilidad Ciclico Momentum,F1 Score Ciclico Momentum,Exactitud Momentum,Precision Momentum,Sensibilidad Momentum,F1 Score Momentum
0,0.9838,0.9834,0.9915,0.9874,0.9837,0.9833,0.9916,0.9874,0.9837,0.9837,0.9912,0.9874,0.9829,0.9809,0.991,0.9859
1,0.9838,0.9916,0.9925,0.992,0.9837,0.9908,0.9925,0.9917,0.9837,0.9913,0.9927,0.992,0.9829,0.9906,0.9927,0.9916
2,0.9838,0.9823,0.9846,0.9835,0.9837,0.9819,0.9846,0.9832,0.9837,0.9822,0.9836,0.9829,0.9829,0.9823,0.9829,0.9826
3,0.9838,0.9813,0.9842,0.9827,0.9837,0.9819,0.9833,0.9826,0.9837,0.9821,0.9831,0.9826,0.9829,0.9812,0.9825,0.9819
4,0.9838,0.9835,0.9825,0.983,0.9837,0.9847,0.9827,0.9837,0.9837,0.9846,0.982,0.9833,0.9829,0.9845,0.9815,0.983
5,0.9838,0.9863,0.98,0.9832,0.9837,0.9853,0.9796,0.9824,0.9837,0.987,0.9798,0.9834,0.9829,0.9853,0.9788,0.9821
6,0.9838,0.9847,0.9851,0.9849,0.9837,0.9833,0.9865,0.9849,0.9837,0.9832,0.9862,0.9847,0.9829,0.9824,0.9848,0.9836
7,0.9838,0.979,0.9798,0.9794,0.9837,0.9793,0.9792,0.9793,0.9837,0.9782,0.98,0.9791,0.9829,0.9789,0.9796,0.9792
8,0.9838,0.9845,0.9798,0.9821,0.9837,0.9853,0.9786,0.9819,0.9837,0.9848,0.9789,0.9818,0.9829,0.9822,0.9771,0.9797
9,0.9838,0.9809,0.9765,0.9787,0.9837,0.981,0.9773,0.9791,0.9837,0.9794,0.978,0.9787,0.9829,0.9796,0.9761,0.9778
Our Decay Momentum,0.98,0.98,0.98,0.98,X,X,X,X,X,X,X,X,X,X,X,X
Random Ciclico Extended,X,X,X,X,0.98,0.98,0.98,0.98,X,X,X,X,X,X,X,X
Ciclico Momentum,X,X,X,X,X,X,X,X,0.98,0.98,0.98,0.98,X,X,X,X
Momentum,X,X,X,X,X,X,X,X,X,X,X,X,0.98,0.98,0.98,0.98
