Clase,Exactitud Our Decay,Precision Our Decay Momentum,Sensibilidad Our Decay Momentum,F1-Score Our Decay Momentum,Exactitud Random Ciclico Extendido,Precision Random Ciclico Extendido,Sensibilidad Random Ciclico Extendido,F1 Score Random Ciclico Extendido,Exactitud Ciclico Momentum,Precision Ciclico Momentum,Sensibilidad Ciclico Momentum,F1 Score Ciclico Momentum,Exactitud Momentum,Precision Momentum,Sensibilidad Momentum,F1 Score Momentum
0,98.38,98.34,99.15,98.74,98.37,98.33,99.16,98.74,98.37,98.37,99.12,98.74,98.29,98.09,99.1,98.59
1,98.38,99.16,99.25,99.2,98.37,99.08,99.25,99.17,98.37,99.13,99.27,99.2,98.29,99.06,99.27,99.16
2,98.38,98.23,98.46,98.35,98.37,98.19,98.46,98.32,98.37,98.22,98.36,98.29,98.29,98.23,98.29,98.26
3,98.38,98.13,98.42,98.27,98.37,98.19,98.33,98.26,98.37,98.21,98.31,98.26,98.29,98.12,98.25,98.19
4,98.38,98.35,98.25,98.3,98.37,98.47,98.27,98.37,98.37,98.46,98.2,98.33,98.29,98.45,98.15,98.3
5,98.38,98.63,98.0,98.32,98.37,98.53,97.96,98.24,98.37,98.7,97.98,98.34,98.29,98.53,97.88,98.21
6,98.38,98.47,98.51,98.49,98.37,98.33,98.65,98.49,98.37,98.32,98.62,98.47,98.29,98.24,98.48,98.36
7,98.38,97.9,97.98,97.94,98.37,97.93,97.92,97.93,98.37,97.82,98.0,97.91,98.29,97.89,97.96,97.92
8,98.38,98.45,97.98,98.21,98.37,98.53,97.86,98.19,98.37,98.48,97.89,98.18,98.29,98.22,97.71,97.97
9,98.38,98.09,97.65,97.87,98.37,98.1,97.73,97.91,98.37,97.94,97.8,97.87,98.29,97.96,97.61,97.78
Our Decay Momentum,98.38,98.38,98.36,98.37,X,X,X,X,X,X,X,X,X,X,X,X
Random Ciclico Extended,X,X,X,X,98.37,98.37,98.36,98.36,X,X,X,X,X,X,X,X
Ciclico Momentum,X,X,X,X,X,X,X,X,98.37,98.36,98.35,98.36,X,X,X,X
Momentum,X,X,X,X,X,X,X,X,X,X,X,X,98.29,98.28,98.27,98.27
