Clase,Exactitud TA Ciclica Aleatoria Extendida,Precision TA Ciclica Aleatoria Extendida,Recall TA Ciclica Aleatoria Extendida,Exactitud Adam,Precision Adam,Sensibilidad Adam,Exactitud TA Decreciente (Propuesta),Precision TA Decreciente (Propuesta),Sensibilidad TA Decreciente (Propuesta)
0,86.29,89.29,84.55,85.92,84.3,89.82,74.34,79.8,74.29
1,86.29,92.97,94.53,85.92,89.23,96.57,74.34,79.79,90.3
2,86.29,77.85,84.83,85.92,84.34,79.85,74.34,69.39,66.78
3,86.29,76.27,69.94,85.92,75.3,69.82,74.34,56.67,52.27
4,86.29,82.59,85.25,85.92,88.95,80.8,74.34,68.33,73.91
5,86.29,83.13,79.3,85.92,71.05,89.34,74.34,66.99,64.14
6,86.29,86.88,88.56,85.92,91.95,83.17,74.34,73.91,83.0
7,86.29,90.73,90.66,85.92,93.33,88.62,74.34,82.84,77.96
8,86.29,92.13,93.65,85.92,91.83,93.11,74.34,78.09,89.36
9,86.29,91.67,92.01,85.92,94.17,88.36,74.34,89.74,72.09
Promedio TA Ciclica Aleatoria Extendida,86.29,86.35,86.33,X,X,X,X,X,X
Promedio Adam,X,X,X,85.92,86.44,85.95,X,X,X
Promedio TA Decreciente (Propuesta),X,X,X,X,X,X,74.34,74.56,74.41
